,RID,ID_da_resposta,setor,setor_id,min_orgao_limpo,ORG_EXERCICIO,min_cod_limpo,QA1,QA2,faixa_etaria,idade,QA4,QB1,QB2,QB3,QB4,QB5,QB6,QB7,QB8,QC1,QC2,QC3,QC4,QC5,QC6,QC7,QC8,QC9,QC10,QC11,QC12,QC13,QD1,QD2,QD3,QD4,QD5,QD6,QE1,QE2,QE3,QE4,QE5,QE6,QE7,QE8,QE9,QE10,QE11,QE12,QE13,QF1,QF2,QF3,QF4,QF5,QF6,QF7,QF8,QF9,QF10,QF11,QG1,QG2,QG3,QG4,QG5,QG6,QG7,QH1,QH2,QH3,QH4,QH5,QI1,QI2,QI2_O,QI3,QI4,QI4_O,QI5,QI6,QI7,QI8,QI9,QI10,QJ1,QJ2,QJ3,QJ4,peso_orgao,aut_2011,cap_2011,part_dom_2011,per_disc_executed_2011,bud_paid_2011,emp_2011,aut1_2017,aut2_2017,aut3_2017,part_dom_2017,pct_respondidos,mean_Aut1_2018,
1210,1210,1012,Productive Development,1,MAPA-CONAB,COMPANHIA NACIONAL DE ABASTECIMENTO,1,0,1,4,60,1,4,3,5,4,4,1,3,4,2,4,5,4,4,3,4,1,1,NA,1,1,NA,4,3,2,4,4,4,5,1,4,4,2,3,4,4,4,4,4,2,1,4,1,1,1,1,1,1,1,1,4,1,4,4,4,4,5,5,5,1,2,2,5,4,6,3,,2,Agric,,0,4,Conab Companhia Nacional de abastecimento,0,#NU,0,3,2,3,3,81.075,-0.43613494,-0.132315717,0.163,0.07,1593649291,3588,NA,NA,35.52123552,0.132246377,0.415,0.893617021,
1211,1211,1019,Productive Development,1,MAPA-CONAB,COMPANHIA NACIONAL DE ABASTECIMENTO,1,1,2,4,58,3,4,2,5,2,4,1,4,2,2,2,2,2,3,2,2,2,2,5,1,3,3,3,4,2,3,3,2,4,1,2,2,2,3,3,4,3,3,3,2,1,5,2,1,1,3,1,2,5,1,3,1,2,2,2,2,2,3,3,3,3,2,3,2,6,3,,3,Agric,,0,4,Companhia Nacional de Abastecimento - CONAB,0,#NU,0,4,1,1,2,81.075,-0.43613494,-0.132315717,0.163,0.07,1593649291,3588,NA,NA,35.52123552,0.132246377,0.415,0.893617021,
1212,1212,1103,Productive Development,1,MAPA-CONAB,COMPANHIA NACIONAL DE ABASTECIMENTO,1,0,2,3,49,5,2,2,4,4,3,2,2,2,2,2,4,2,3,3,2,2,1,4,2,2,3,1,1,2,5,2,1,4,2,2,2,2,4,4,2,2,4,2,2,2,4,4,1,1,1,1,2,1,4,1,4,4,4,4,2,2,4,4,4,2,4,3,2,2,3,,3,Agric,,1,4,CONAB.,1,1,0,4,1,1,3,81.075,-0.43613494,-0.132315717,0.163,0.07,1593649291,3588,NA,NA,35.52123552,0.132246377,0.415,0.893617021,
1213,1213,1242,Productive Development,1,MAPA-CONAB,COMPANHIA NACIONAL DE ABASTECIMENTO,1,0,2,1,30,3,4,2,5,3,4,1,4,3,2,1,2,3,2,3,2,1,2,4,1,3,3,1,3,4,1,4,4,1,2,4,2,1,4,NA,NA,NA,3,2,2,1,5,2,1,1,1,1,1,1,1,1,1,4,2,4,1,1,4,1,2,2,2,3,1,2,3,,3,Agric,,1,4,Companhia Nacional de Abastecimento,0,#NU,0,4,1,1,1,81.075,-0.43613494,-0.132315717,0.163,0.07,1593649291,3588,NA,NA,35.52123552,0.132246377,0.415,0.893617021,
1214,1214,1308,Productive Development,1,MAPA-CONAB,COMPANHIA NACIONAL DE ABASTECIMENTO,1,1,4,3,45,3,3,5,5,4,4,1,4,1,3,4,2,3,2,2,2,1,4,4,1,1,3,5,4,1,5,5,5,4,1,2,2,2,3,3,3,2,2,3,2,4,3,3,1,1,1,3,3,2,2,4,4,4,3,4,3,4,5,4,5,4,3,3,3,3,3,,3,Agric,,0,4,COMPANHIA NACIONAL DE ABASTECIMENTO - CONAB,1,1,0,4,1,1,1,81.075,-0.43613494,-0.132315717,0.163,0.07,1593649291,3588,NA,NA,35.52123552,0.132246377,0.415,0.893617021,
1215,1215,1527,Productive Development,1,MAPA-CONAB,COMPANHIA NACIONAL DE ABASTECIMENTO,1,0,4,2,38,3,4,2,5,3,1,4,2,4,2,2,4,1,2,3,5,1,2,4,1,3,3,4,4,2,2,2,1,1,2,4,2,4,4,NA,NA,NA,4,4,2,2,2,1,1,1,1,1,1,4,1,4,1,4,4,4,2,2,4,2,4,4,1,2,1,4,3,,3,Agric,,0,4,Conab.,0,#NU,0,4,3,3,3,81.075,-0.43613494,-0.132315717,0.163,0.07,1593649291,3588,NA,NA,35.52123552,0.132246377,0.415,0.893617021,
1216,1216,1660,Productive Development,1,MAPA-CONAB,COMPANHIA NACIONAL DE ABASTECIMENTO,1,1,2,2,36,3,1,1,5,4,3,3,2,4,2,4,4,4,4,4,4,3,2,4,2,1,4,4,3,2,4,1,4,1,2,2,2,NA,4,NA,2,4,4,4,4,1,1,1,1,1,3,1,1,1,1,1,1,4,5,4,4,4,4,4,4,4,2,4,1,3,3,,3,Agric,,1,4,Companhia Nacional de Abastecimento,1,1,0,4,1,1,1,81.075,-0.43613494,-0.132315717,0.163,0.07,1593649291,3588,NA,NA,35.52123552,0.132246377,0.415,0.893617021,
1217,1217,1795,Productive Development,1,MAPA-CONAB,COMPANHIA NACIONAL DE ABASTECIMENTO,1,0,4,4,56,2,4,2,5,4,3,2,3,2,2,4,4,4,4,2,2,4,2,2,2,1,3,4,2,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,1,3,3,4,4,4,4,4,4,4,4,4,2,4,4,6,3,,2,Agric,,0,4,Companhia Nacional de Abastecimento - CONAB,1,1,0,3,1,1,1,81.075,-0.43613494,-0.132315717,0.163,0.07,1593649291,3588,NA,NA,35.52123552,0.132246377,0.415,0.893617021,
1218,1218,1832,Productive Development,1,MAPA-CONAB,COMPANHIA NACIONAL DE ABASTECIMENTO,1,0,2,4,58,2,3,2,3,3,3,NA,3,3,3,4,4,3,4,4,4,3,4,3,2,1,3,3,3,1,4,4,4,2,2,4,4,4,4,4,4,4,4,3,4,3,5,4,4,1,3,4,4,4,3,4,4,3,4,4,2,2,3,3,4,3,2,3,3,3,3,,3,Agric,,0,4,Companhia Nacional de Abastecimento - CONAB,1,1,0,3,2,2,2,81.075,-0.43613494,-0.132315717,0.163,0.07,1593649291,3588,NA,NA,35.52123552,0.132246377,0.415,0.893617021,
1219,1219,1833,Productive Development,1,MAPA-CONAB,COMPANHIA NACIONAL DE ABASTECIMENTO,1,1,2,4,59,2,5,3,5,5,4,NA,4,3,2,3,4,NA,4,5,4,5,4,3,1,1,4,5,NA,1,5,4,4,4,2,3,4,4,2,4,4,NA,4,4,NA,NA,1,1,1,1,1,1,1,4,1,1,1,5,5,4,5,5,5,5,4,4,3,5,4,6,3,,2,Agric,,0,4,COMPANHIA NACIONAL DE ABASTECIMENTO-CONAB,0,#NU,0,4,1,3,3,81.075,-0.43613494,-0.132315717,0.163,0.07,1593649291,3588,NA,NA,35.52123552,0.132246377,0.415,0.893617021,
1220,1220,1863,Productive Development,1,MAPA-CONAB,COMPANHIA NACIONAL DE ABASTECIMENTO,1,0,2,3,50,3,4,4,4,3,4,1,3,3,2,2,2,2,4,4,5,4,4,2,1,4,4,4,NA,2,4,4,4,2,1,2,2,2,NA,NA,2,NA,4,2,2,1,2,1,1,1,1,2,2,4,1,1,1,4,4,4,4,4,4,4,1,NA,1,4,1,6,3,,1,Agric,,0,4,Companhia Nacional de Abastecimento (Conab),0,#NU,0,3,3,1,1,81.075,-0.43613494,-0.132315717,0.163,0.07,1593649291,3588,NA,NA,35.52123552,0.132246377,0.415,0.893617021,
1221,1221,1910,Productive Development,1,MAPA-CONAB,COMPANHIA NACIONAL DE ABASTECIMENTO,1,1,1,2,34,3,3,2,5,3,4,1,3,3,3,3,3,2,2,3,3,2,2,3,2,3,3,4,3,2,3,4,4,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,2,NA,4,NA,NA,NA,4,4,4,1,4,NA,3,3,3,3,3,3,3,4,3,2,3,3,1,3,,2,Agric,,0,4,Companhia Nacional de Abastecimento - Conab,0,#NU,0,4,1,1,1,81.075,-0.43613494,-0.132315717,0.163,0.07,1593649291,3588,NA,NA,35.52123552,0.132246377,0.415,0.893617021,
1222,1222,1972,Productive Development,1,MAPA-CONAB,COMPANHIA NACIONAL DE ABASTECIMENTO,1,1,4,5,67,3,4,3,4,4,3,1,3,3,3,4,4,3,4,4,4,2,3,3,2,3,4,2,3,4,4,4,2,3,2,2,4,2,3,3,3,3,3,3,3,2,5,3,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,3,2,4,3,6,3,,3,Agric,,1,4,COMPANHIA NACIONAL DE ABASTECIMENTO - CONAB,0,#NU,0,4,3,3,3,81.075,-0.43613494,-0.132315717,0.163,0.07,1593649291,3588,NA,NA,35.52123552,0.132246377,0.415,0.893617021,
1223,1223,2033,Productive Development,1,MAPA-CONAB,COMPANHIA NACIONAL DE ABASTECIMENTO,1,1,4,4,54,2,4,NA,4,4,4,1,1,3,4,4,2,1,4,4,5,2,3,4,1,1,3,5,4,2,4,5,NA,2,1,2,2,2,1,1,2,3,2,NA,NA,NA,1,1,NA,4,3,1,1,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,NA,4,4,2,2,,4,Agric,,1,4,conab,1,3,0,NA,NA,NA,NA,81.075,-0.43613494,-0.132315717,0.163,0.07,1593649291,3588,NA,NA,35.52123552,0.132246377,0.415,0.893617021,
1224,1224,2161,Productive Development,1,MAPA-CONAB,COMPANHIA NACIONAL DE ABASTECIMENTO,1,0,5,4,58,2,3,3,4,2,3,1,3,2,2,1,2,2,2,1,4,2,2,4,3,1,2,2,2,3,3,3,3,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,4,3,2,2,2,4,3,,2,Agric,,0,4,CONAB - Companhia Nacional do Abastecimento,0,#NU,0,3,1,1,1,81.075,-0.43613494,-0.132315717,0.163,0.07,1593649291,3588,NA,NA,35.52123552,0.132246377,0.415,0.893617021,
1225,1225,2209,Productive Development,1,MAPA-CONAB,COMPANHIA NACIONAL DE ABASTECIMENTO,1,1,2,2,36,3,4,4,4,4,3,2,3,2,4,4,3,2,4,3,4,2,4,2,1,2,4,4,3,1,4,4,3,2,2,2,4,4,4,4,4,4,4,4,4,4,3,3,2,1,2,1,1,1,2,2,3,4,4,4,4,4,3,3,4,4,2,3,3,3,3,,4,Agric,,1,4,CONAB,1,2,1,4,1,1,1,81.075,-0.43613494,-0.132315717,0.163,0.07,1593649291,3588,NA,NA,35.52123552,0.132246377,0.415,0.893617021,
1226,1226,2248,Productive Development,1,MAPA-CONAB,COMPANHIA NACIONAL DE ABASTECIMENTO,1,0,4,4,58,1,4,2,5,3,1,1,1,4,1,5,5,2,3,3,4,3,4,3,2,4,2,4,2,5,3,2,3,5,5,5,5,1,5,5,1,5,5,5,1,1,1,1,1,1,1,1,1,4,1,1,1,4,1,1,1,1,1,1,2,1,5,2,2,6,3,,2,Agric,,0,4,Companhia Nacional de Abastecimento - CONAB,0,#NU,0,4,4,1,1,81.075,-0.43613494,-0.132315717,0.163,0.07,1593649291,3588,NA,NA,35.52123552,0.132246377,0.415,0.893617021,
1227,1227,2458,Productive Development,1,MAPA-CONAB,COMPANHIA NACIONAL DE ABASTECIMENTO,1,0,2,2,36,3,4,1,4,2,4,2,2,3,2,1,3,2,3,3,4,2,2,3,2,1,3,3,2,2,4,NA,4,2,1,2,2,2,3,NA,NA,NA,4,4,2,2,NA,NA,1,1,1,5,4,1,1,4,2,4,2,3,2,3,4,4,4,3,2,2,3,1,3,,3,Agric,,0,4,COMPANHIA NACIONAL DE ABASTECIMENTO - CONAB,0,#NU,0,3,1,2,2,81.075,-0.43613494,-0.132315717,0.163,0.07,1593649291,3588,NA,NA,35.52123552,0.132246377,0.415,0.893617021,
1228,1228,2565,Productive Development,1,MAPA-CONAB,COMPANHIA NACIONAL DE ABASTECIMENTO,1,1,4,#NULO!,118,3,3,4,5,4,4,2,3,3,3,4,4,3,3,2,4,3,3,4,2,3,4,4,NA,2,5,4,4,2,1,4,3,4,4,4,4,NA,4,4,4,1,2,2,1,1,1,1,1,5,1,1,1,4,3,2,4,4,4,4,4,4,2,4,2,1,3,,3,Agric,,0,4,COMPANHIA NACIONAL DE ABASTECIMENTO,1,1,0,4,2,4,4,81.075,-0.43613494,-0.132315717,0.163,0.07,1593649291,3588,NA,NA,35.52123552,0.132246377,0.415,0.893617021,
1229,1229,2579,Productive Development,1,MAPA-CONAB,COMPANHIA NACIONAL DE ABASTECIMENTO,1,1,4,2,31,3,3,1,5,2,4,1,4,3,1,1,1,1,3,3,NA,3,2,4,2,3,4,1,NA,3,NA,4,3,2,1,2,4,2,NA,3,2,2,4,4,3,1,4,3,3,2,2,4,3,NA,1,1,2,2,4,3,1,1,1,1,2,NA,2,2,1,1,3,,2,Agric,,0,4,COMPANHIA NACIONAL DE ABASTECIMENTO - CONAB,1,1,0,4,1,2,2,81.075,-0.43613494,-0.132315717,0.163,0.07,1593649291,3588,NA,NA,35.52123552,0.132246377,0.415,0.893617021,
1230,1230,2697,Productive Development,1,MAPA-CONAB,COMPANHIA NACIONAL DE ABASTECIMENTO,1,0,2,4,60,1,3,2,5,3,4,1,3,3,3,2,2,3,2,3,2,4,2,1,1,4,3,3,4,2,4,3,2,3,2,2,2,3,2,3,3,4,3,2,2,2,1,1,1,1,2,4,3,4,2,4,4,3,4,4,3,3,2,4,1,2,1,3,3,5,3,,1,Agric,,0,4,COMPANHIA NACIONAL DE ABASTECIMENTO,0,#NU,0,3,1,2,3,81.075,-0.43613494,-0.132315717,0.163,0.07,1593649291,3588,NA,NA,35.52123552,0.132246377,0.415,0.893617021,
1231,1231,2744,Productive Development,1,MAPA-CONAB,COMPANHIA NACIONAL DE ABASTECIMENTO,1,1,4,5,68,3,4,2,5,4,4,1,4,1,3,3,3,3,4,4,4,3,3,3,1,3,3,4,NA,2,4,NA,NA,4,3,4,4,4,4,NA,NA,4,4,NA,NA,2,4,3,1,1,1,1,1,NA,1,2,2,4,4,4,4,4,4,4,3,4,3,4,4,6,3,,3,Agric,,0,4,conab,0,#NU,0,4,2,1,1,81.075,-0.43613494,-0.132315717,0.163,0.07,1593649291,3588,NA,NA,35.52123552,0.132246377,0.415,0.893617021,
1232,1232,2753,Productive Development,1,MAPA-CONAB,COMPANHIA NACIONAL DE ABASTECIMENTO,1,0,4,4,59,2,4,2,5,3,4,1,3,1,3,2,5,1,2,3,5,3,3,4,4,2,3,4,5,1,4,5,2,5,2,2,3,2,4,2,4,4,5,3,1,1,4,3,1,1,1,5,1,5,1,5,4,4,4,4,4,3,4,4,2,2,1,4,5,6,1,,2,Agric,,0,4,COMPANHIA NACIONAL DE ABASTECIMENTO - CONAB,0,#NU,0,3,1,2,3,81.075,-0.43613494,-0.132315717,0.163,0.07,1593649291,3588,NA,NA,35.52123552,0.132246377,0.415,0.893617021,
1233,1233,3197,Productive Development,1,MAPA-CONAB,COMPANHIA NACIONAL DE ABASTECIMENTO,1,1,2,1,29,3,4,2,5,3,4,1,4,1,3,3,3,3,3,3,5,2,2,3,3,1,1,1,2,2,1,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,1,1,1,1,1,2,1,5,1,1,1,3,3,3,3,3,3,3,4,3,2,3,2,1,3,,3,Agric,,0,4,CONAB,0,#NU,0,4,1,1,1,81.075,-0.43613494,-0.132315717,0.163,0.07,1593649291,3588,NA,NA,35.52123552,0.132246377,0.415,0.893617021,
1234,1234,3375,Productive Development,1,MAPA-CONAB,COMPANHIA NACIONAL DE ABASTECIMENTO,1,0,4,2,31,3,4,2,5,3,4,1,3,3,2,3,4,4,3,3,4,3,2,4,2,4,4,3,2,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,4,4,4,3,NA,4,2,4,3,3,3,,3,Agric,,1,4,Conab,0,#NU,0,3,1,2,2,81.075,-0.43613494,-0.132315717,0.163,0.07,1593649291,3588,NA,NA,35.52123552,0.132246377,0.415,0.893617021,
1235,1235,3393,Productive Development,1,MAPA-CONAB,COMPANHIA NACIONAL DE ABASTECIMENTO,1,0,4,4,55,2,4,1,1,2,4,1,4,4,4,2,1,1,4,2,2,5,1,1,2,4,4,4,2,1,5,5,2,2,1,1,2,2,1,1,1,4,4,2,1,1,5,4,1,1,2,4,4,4,1,5,1,2,5,4,3,2,1,2,2,4,2,2,4,5,3,,3,Agric,,0,4,Conab - Companhia Nacional de Abastecimento,1,1,0,2,1,1,4,81.075,-0.43613494,-0.132315717,0.163,0.07,1593649291,3588,NA,NA,35.52123552,0.132246377,0.415,0.893617021,
1236,1236,3896,Productive Development,1,MAPA-CONAB,COMPANHIA NACIONAL DE ABASTECIMENTO,1,0,4,2,37,2,NA,3,4,4,3,1,3,2,3,4,3,3,4,4,NA,2,NA,4,2,NA,NA,2,2,2,NA,NA,NA,3,1,1,3,2,4,4,NA,NA,5,5,2,1,1,1,1,1,2,1,1,1,1,3,1,2,2,2,3,3,3,3,4,3,2,3,3,1,3,,3,Agric,,1,4,CONAB,0,#NU,0,4,1,1,1,81.075,-0.43613494,-0.132315717,0.163,0.07,1593649291,3588,NA,NA,35.52123552,0.132246377,0.415,0.893617021,
1237,1237,4512,Productive Development,1,MAPA-CONAB,COMPANHIA NACIONAL DE ABASTECIMENTO,1,0,2,4,56,3,4,5,4,5,4,2,4,2,4,4,4,4,4,3,2,2,1,4,2,2,3,4,3,2,4,4,5,4,1,1,1,2,4,4,4,2,4,4,2,1,3,5,2,2,3,1,4,3,3,3,2,5,5,4,5,4,4,4,4,4,2,4,4,6,1,,3,Agric,,1,4,Companhia Nacional de Abastecimento - Conab,1,1,0,3,1,3,3,81.075,-0.43613494,-0.132315717,0.163,0.07,1593649291,3588,NA,NA,35.52123552,0.132246377,0.415,0.893617021,
1238,1238,4648,Productive Development,1,MAPA-CONAB,COMPANHIA NACIONAL DE ABASTECIMENTO,1,1,4,2,36,3,2,2,5,5,4,1,4,2,2,4,4,2,4,4,5,1,2,4,2,2,4,2,4,2,4,4,4,4,2,2,2,4,4,4,4,4,4,4,4,2,2,2,1,3,3,1,1,3,1,1,2,2,2,2,4,4,4,4,5,4,2,4,4,3,3,,3,Agric,,1,4,COMPANHIA NACIONAL DE ABASTECIMENTO,0,#NU,0,4,1,4,4,81.075,-0.43613494,-0.132315717,0.163,0.07,1593649291,3588,NA,NA,35.52123552,0.132246377,0.415,0.893617021,
1239,1239,4654,Productive Development,1,MAPA-CONAB,COMPANHIA NACIONAL DE ABASTECIMENTO,1,0,2,2,31,2,2,3,5,4,4,1,3,2,1,2,3,3,3,2,4,3,2,3,2,3,3,4,2,2,2,5,4,1,1,1,2,3,2,2,2,2,2,1,2,2,1,4,1,1,1,4,1,4,1,5,3,2,3,1,3,2,3,2,3,4,1,2,2,1,3,,3,Agric,,0,4,COMPANHIA NACIONAL DE ABASTECIMENTO - CONAB,0,#NU,0,4,3,2,2,81.075,-0.43613494,-0.132315717,0.163,0.07,1593649291,3588,NA,NA,35.52123552,0.132246377,0.415,0.893617021,
1240,1240,4689,Productive Development,1,MAPA-CONAB,COMPANHIA NACIONAL DE ABASTECIMENTO,1,0,2,5,68,3,2,3,5,4,4,1,3,3,2,4,4,4,4,3,5,3,3,4,1,1,1,2,4,2,4,4,3,2,1,2,2,5,3,3,3,3,4,4,4,2,5,4,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,2,2,2,2,6,3,,3,Agric,,1,4,Companhia Nacional de Abastecimento - Conab,1,1,0,4,1,1,1,81.075,-0.43613494,-0.132315717,0.163,0.07,1593649291,3588,NA,NA,35.52123552,0.132246377,0.415,0.893617021,
1241,1241,4726,Productive Development,1,MAPA-CONAB,COMPANHIA NACIONAL DE ABASTECIMENTO,1,0,2,4,59,2,2,1,4,4,3,2,3,3,4,4,2,2,4,3,2,4,4,2,2,3,3,4,2,4,4,4,3,4,2,2,2,2,2,4,4,4,4,4,2,4,1,1,1,1,1,1,1,1,1,1,1,4,2,3,4,4,4,4,3,4,2,2,4,6,3,,2,Agric,,0,4,COMPANHIA NACIONAL DE ABASTECIMENTO CONAB,1,1,0,2,4,NA,NA,81.075,-0.43613494,-0.132315717,0.163,0.07,1593649291,3588,NA,NA,35.52123552,0.132246377,0.415,0.893617021,
1242,1242,119,Security and Citizenship,4,MJ-CADE,CONSELHO ADMINIST.DE DEFESA ECONOMICA,13,0,4,1,24,2,4,4,5,5,4,1,4,4,4,5,5,4,5,4,4,1,2,3,2,3,2,5,3,3,5,NA,4,2,2,3,5,2,4,4,2,2,3,4,3,3,1,3,1,1,3,1,1,5,2,1,3,5,4,4,3,3,4,4,5,4,3,5,5,1,2,,4,Justi,,1,2,Conselho Administrativo de Defesa EconÃ´mic,1,2,0,4,2,1,1,21.8,1.652874,-0.554961423,0.333,0.476,24370284.31,68,11.42857143,10.81081081,10.22727273,0.188679245,0.149,0.850253035,
1243,1243,275,Security and Citizenship,4,MJ-CADE,CONSELHO ADMINIST.DE DEFESA ECONOMICA,13,0,2,2,32,4,3,4,5,3,2,3,2,4,5,4,5,5,4,3,4,1,2,4,4,4,4,4,4,1,4,5,3,3,1,5,3,3,3,4,4,5,4,5,5,1,4,1,1,1,1,1,1,4,3,4,4,4,3,4,5,3,5,5,5,5,4,3,4,2,2,,4,Justi,,1,3,Cade,1,2,0,4,2,1,1,21.8,1.652874,-0.554961423,0.333,0.476,24370284.31,68,11.42857143,10.81081081,10.22727273,0.188679245,0.149,0.850253035,
1244,1244,869,Security and Citizenship,4,MJ-CADE,CONSELHO ADMINIST.DE DEFESA ECONOMICA,13,1,4,2,33,3,3,3,4,4,4,2,3,4,4,4,4,4,4,2,4,2,2,4,3,4,4,3,2,2,4,2,3,2,2,4,4,4,2,3,3,4,2,3,4,3,3,3,1,1,3,1,1,5,1,1,1,4,3,3,4,3,3,4,4,4,3,3,4,2,1,,3,Justi,,1,3,Conselho Administrativo de Defesa Economica,0,#NU,0,4,3,4,4,21.8,1.652874,-0.554961423,0.333,0.476,24370284.31,68,11.42857143,10.81081081,10.22727273,0.188679245,0.149,0.850253035,
1245,1245,1201,Security and Citizenship,4,MJ-CADE,CONSELHO ADMINIST.DE DEFESA ECONOMICA,13,1,2,5,61,4,4,3,5,4,3,1,3,1,4,4,4,3,4,4,3,3,4,4,2,2,3,4,2,2,5,NA,4,2,2,3,2,3,3,2,3,4,3,4,3,4,1,2,1,2,5,NA,NA,5,1,1,2,5,5,4,4,4,4,4,3,4,NA,4,5,6,#NULO,estatutÃ¡rio/aposentada/ cargo em confianÃ§a,3,Justi,,1,3,Conselho Administrativo de Defesa EconÃ´mic,1,2,0,4,2,1,2,21.8,1.652874,-0.554961423,0.333,0.476,24370284.31,68,11.42857143,10.81081081,10.22727273,0.188679245,0.149,0.850253035,
1246,1246,1461,Security and Citizenship,4,MJ-CADE,CONSELHO ADMINIST.DE DEFESA ECONOMICA,13,1,2,1,26,3,4,NA,5,1,4,1,4,4,2,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,2,4,NA,NA,2,2,2,NA,NA,4,3,3,NA,NA,NA,NA,2,5,NA,NA,NA,5,NA,NA,5,NA,NA,4,4,4,NA,4,4,4,4,4,3,2,NA,4,1,2,,4,Justi,,1,3,Conselho Administrativo de Defesa EconÃ´mic,1,2,0,4,1,1,1,21.8,1.652874,-0.554961423,0.333,0.476,24370284.31,68,11.42857143,10.81081081,10.22727273,0.188679245,0.149,0.850253035,
1247,1247,1793,Security and Citizenship,4,MJ-CADE,CONSELHO ADMINIST.DE DEFESA ECONOMICA,13,0,4,2,35,3,4,5,5,5,3,NA,4,3,4,5,5,5,4,3,4,3,2,2,2,3,4,4,2,1,5,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,3,4,1,1,2,1,1,1,1,1,2,5,5,5,4,4,4,4,5,4,4,4,5,3,2,,4,Justi,,1,3,Conselho Administrativo de Defesa Economica,1,2,0,3,NA,1,2,21.8,1.652874,-0.554961423,0.333,0.476,24370284.31,68,11.42857143,10.81081081,10.22727273,0.188679245,0.149,0.850253035,
1248,1248,1794,Security and Citizenship,4,MJ-CADE,CONSELHO ADMINIST.DE DEFESA ECONOMICA,13,0,2,3,42,3,4,4,5,4,4,1,4,3,3,3,4,3,3,3,4,4,4,4,2,4,2,5,2,2,3,4,4,2,1,4,4,4,3,2,2,2,4,4,1,1,4,2,2,3,2,1,1,4,2,1,1,4,4,4,2,4,3,3,4,4,2,3,4,4,1,,3,Justi,,1,3,Conselho Administrativo de Defesa EconÃ´mic,1,2,0,4,1,1,1,21.8,1.652874,-0.554961423,0.333,0.476,24370284.31,68,11.42857143,10.81081081,10.22727273,0.188679245,0.149,0.850253035,
1249,1249,1796,Security and Citizenship,4,MJ-CADE,CONSELHO ADMINIST.DE DEFESA ECONOMICA,13,0,2,3,46,3,4,3,3,5,4,1,3,4,4,4,3,2,4,4,3,5,4,5,1,3,4,5,1,2,4,5,4,1,1,4,1,4,3,3,3,3,3,2,3,5,1,2,1,1,1,1,1,1,1,2,2,5,4,3,4,4,3,5,5,4,1,3,4,5,1,,3,Justi,,1,3,Conselho Administrativo de Defesa Economica,1,2,0,3,2,1,1,21.8,1.652874,-0.554961423,0.333,0.476,24370284.31,68,11.42857143,10.81081081,10.22727273,0.188679245,0.149,0.850253035,
1250,1250,2093,Security and Citizenship,4,MJ-CADE,CONSELHO ADMINIST.DE DEFESA ECONOMICA,13,1,2,3,41,4,3,4,4,4,3,1,3,3,2,2,4,4,4,2,4,2,2,4,2,1,3,4,2,4,4,2,2,4,2,2,4,2,2,4,4,4,2,4,4,4,2,1,1,1,1,1,1,4,2,1,1,3,4,2,3,3,3,3,4,4,2,4,5,3,1,,3,Justi,,1,3,Conselho Administrativo de Defesa Economica,1,1,0,4,2,4,4,21.8,1.652874,-0.554961423,0.333,0.476,24370284.31,68,11.42857143,10.81081081,10.22727273,0.188679245,0.149,0.850253035,
1251,1251,4188,Security and Citizenship,4,MJ-CADE,CONSELHO ADMINIST.DE DEFESA ECONOMICA,13,1,2,2,37,2,4,4,4,5,4,1,3,3,4,5,5,4,4,3,4,2,2,4,4,3,4,2,4,2,4,4,3,2,2,2,4,4,2,3,4,4,2,3,3,2,5,5,1,1,1,1,1,5,4,1,3,5,4,4,4,4,4,4,4,4,2,2,5,3,1,,3,Justi,,1,3,Conselho Administrativo de Defesa EconÃ´mic,1,2,0,4,3,1,1,21.8,1.652874,-0.554961423,0.333,0.476,24370284.31,68,11.42857143,10.81081081,10.22727273,0.188679245,0.149,0.850253035,
1252,1252,1952,Productive Development,1,MCTIC-CNPQ,CONSELHO NAC.DE DESEN.CIEN.E TECNOLOGICO,3,0,4,4,60,2,4,4,4,4,4,1,3,3,4,4,4,3,4,3,4,4,5,4,2,1,3,4,2,2,4,4,2,4,2,4,4,4,4,4,4,4,4,4,4,4,3,4,1,1,1,1,1,1,1,1,5,4,2,4,4,4,4,4,2,4,2,2,4,6,1,,2,Ciênc,,1,3,CNPq - Conselho Nacional de Desenvolvimento,1,1,0,4,1,1,1,144,0.35002724,1.771945175,0.354,0.68,1546944923,503,15.58441558,31.57894737,20.52785924,0.161764706,0.114,0.935024636,
